행정동명,area_km2,population,pop_density
목2동,1.03,28158.0,27337.864077669903
목3동,0.53,20867.0,39371.698113207545
목4동,0.57,23985.0,42078.94736842105
목5동,1.81,40648.0,22457.45856353591
신월1동,0.65,18783.0,28896.923076923074
신월2동,0.61,20560.0,33704.91803278689
신월3동,0.87,13934.0,16016.091954022988
신월4동,0.52,16994.0,32680.76923076923
신월5동,0.69,13761.0,19943.478260869568
신월6동,0.41,13684.0,33375.60975609756
신월7동,1.19,18083.0,15195.798319327732
신정1동,0.7,19549.0,27927.14285714286
신정1동,0.7,17519.0,25027.14285714286
신정2동,0.52,18486.0,35550.0
신정2동,0.52,25278.0,48611.53846153846
신정4동,1.01,31345.0,31034.65346534653
신정4동,1.01,19389.0,19197.029702970296
신정3동,2.72,47980.0,17639.70588235294
신정3동,2.72,15540.0,5713.235294117647
신정6동,0.96,23917.0,24913.541666666668
신정7동,1.21,27874.0,23036.36363636364
염창동,1.74,41115.0,23629.310344827587
등촌1동,0.64,,
등촌2동,0.92,,
등촌3동,0.79,,
화곡본동,0.98,31985.0,32637.755102040817
화곡2동,0.45,,
화곡3동,0.53,,
화곡4동,0.82,,
화곡6동,1.11,,
화곡8동,0.53,,
가양1동,4.7,12817.0,2727.0212765957444
가양2동,1.0,18151.0,18151.0
가양3동,0.5,,
발산1동,2.94,,
공항동,10.87,28866.0,2655.5657773689054
방화1동,1.48,,
방화2동,6.41,,
방화3동,2.55,,
화곡1동,1.12,,
우장산동,1.36,43214.0,31775.0
신도림동,1.47,35940.0,24448.97959183673
구로1동,1.02,,
구로2동,1.76,,
구로3동,1.02,,
구로4동,0.46,,
구로5동,1.03,,
고척1동,1.16,,
고척2동,1.02,,
개봉2동,0.8,,
개봉3동,0.81,,
오류1동,0.59,,
오류2동,3.2,,
수궁동,2.67,22200.0,8314.606741573034
가리봉동,0.4,8724.0,21810.0
개봉1동,1.31,,
항동,1.4,16029.0,11449.285714285716
가산동,2.52,25148.0,9979.36507936508
독산1동,2.09,,
독산2동,0.6,,
독산3동,0.92,,
독산4동,0.59,,
시흥1동,1.71,,
시흥2동,1.26,,
시흥3동,1.07,,
시흥4동,0.87,,
시흥5동,1.39,,
여의동,8.4,33879.0,4033.214285714285
여의동,8.4,15561.0,1852.5
당산1동,0.75,,
당산2동,1.55,,
양평1동,0.88,,
양평2동,3.0,,
신길1동,0.66,,
신길3동,0.52,,
신길4동,0.38,,
신길5동,0.47,,
신길6동,0.65,,
신길7동,0.64,,
대림1동,0.49,,
대림2동,0.55,,
대림3동,0.95,,
영등포본동,1.02,20421.0,20020.58823529412
영등포동,1.26,31215.0,24773.809523809523
도림동,0.89,17650.0,19831.460674157304
문래동,1.49,31368.0,21052.34899328859
노량진2동,0.64,,
상도1동,1.51,,
상도2동,0.98,,
상도3동,0.6,,
상도4동,0.75,,
사당1동,0.79,,
사당3동,0.92,,
사당4동,0.38,,
사당5동,0.57,,
대방동,1.55,34053.0,21969.67741935484
신대방1동,0.62,,
신대방2동,1.03,,
흑석동,1.68,29967.0,17837.5
노량진1동,1.58,,
사당2동,2.75,,
보라매동,0.76,23210.0,30539.473684210527
청림동,0.3,14424.0,48080.0
청림동,0.3,4527.0,15090.0
행운동,0.72,28689.0,39845.833333333336
낙성대동,2.27,17495.0,7707.048458149779
중앙동,0.39,15204.0,38984.61538461538
중앙동,0.39,3090.0,7923.076923076923
중앙동,0.39,3581.0,9182.05128205128
중앙동,0.39,3537.0,9069.23076923077
중앙동,0.39,10180.0,26102.5641025641
중앙동,0.39,16648.0,42687.179487179485
중앙동,0.39,42570.0,109153.84615384616
중앙동,0.39,4360.0,11179.48717948718
중앙동,0.39,24090.0,61769.230769230766
중앙동,0.39,11405.0,29243.589743589742
중앙동,0.39,33198.0,85123.07692307692
중앙동,0.39,26782.0,68671.79487179487
중앙동,0.39,25411.0,65156.41025641026
중앙동,0.39,2160.0,5538.461538461538
중앙동,0.39,4165.0,10679.48717948718
중앙동,0.39,6417.0,16453.846153846152
중앙동,0.39,5247.0,13453.846153846154
중앙동,0.39,4630.0,11871.794871794871
중앙동,0.39,9538.0,24456.41025641025
중앙동,0.39,4031.0,10335.897435897436
중앙동,0.39,2962.0,7594.871794871795
중앙동,0.39,3671.0,9412.820512820512
중앙동,0.39,2488.0,6379.48717948718
중앙동,0.39,13518.0,34661.53846153846
중앙동,0.39,8806.0,22579.48717948718
중앙동,0.39,5655.0,14500.0
중앙동,0.39,38048.0,97558.97435897436
중앙동,0.39,10040.0,25743.589743589742
중앙동,0.39,3323.0,8520.51282051282
중앙동,0.39,10562.0,27082.05128205128
중앙동,0.39,3048.0,7815.384615384615
인헌동,1.08,25089.0,23230.555555555555
남현동,3.27,17352.0,5306.422018348624
남현동,3.27,4595.0,1405.1987767584098
서원동,0.65,23057.0,35472.30769230769
신원동,0.55,17437.0,31703.63636363636
서림동,0.99,23343.0,23578.78787878788
신사동,0.64,22112.0,34550.0
신사동,0.64,15212.0,23768.75
신림동,0.54,23041.0,42668.51851851852
난향동,0.8,14525.0,18156.25
조원동,0.67,19626.0,29292.53731343284
대학동,8.3,24684.0,2973.9759036144574
은천동,0.78,31644.0,40569.230769230766
성현동,0.68,29501.0,43383.82352941176
청룡동,1.18,36060.0,30559.32203389831
청룡동,1.18,57831.0,49009.32203389831
난곡동,0.96,24541.0,25563.541666666668
삼성동,2.66,19459.0,7315.413533834586
삼성동,2.66,13178.0,4954.1353383458645
삼성동,2.66,29613.0,11132.706766917292
삼성동,2.66,19577.0,7359.774436090225
미성동,1.38,28683.0,20784.78260869565
미성동,1.38,10614.0,7691.304347826088
서초1동,1.42,20212.0,14233.802816901409
서초2동,1.24,24771.0,19976.612903225807
서초3동,2.93,31956.0,10906.484641638224
서초4동,0.88,30166.0,34279.545454545456
잠원동,1.76,26653.0,15143.75
반포본동,1.01,227.0,224.7524752475248
반포1동,1.0,33583.0,33583.0
반포2동,1.35,26654.0,19743.7037037037
반포3동,1.28,23950.0,18710.9375
반포4동,1.43,18447.0,12900.0
방배본동,0.67,19963.0,29795.5223880597
방배1동,0.7,16397.0,23424.28571428572
방배2동,1.93,17622.0,9130.569948186529
방배3동,2.4,15667.0,6527.916666666667
방배4동,0.98,22674.0,23136.73469387755
양재1동,5.76,40910.0,7102.430555555556
양재2동,7.58,20927.0,2760.8179419525068
내곡동,12.68,16737.0,1319.9526813880127
내곡동,12.68,18127.0,1429.5741324921137
신사동,1.89,22112.0,11699.4708994709
신사동,1.89,15212.0,8048.677248677249
개포3동,1.24,16597.0,13384.67741935484
논현1동,1.25,20713.0,16570.4
논현1동,1.25,31108.0,24886.4
논현2동,1.47,20083.0,13661.90476190476
논현2동,1.47,30715.0,20894.557823129253
삼성1동,1.94,12641.0,6515.979381443299
삼성2동,1.24,30258.0,24401.612903225807
대치1동,0.79,23840.0,30177.215189873416
대치2동,2.0,38075.0,19037.5
대치4동,0.73,18095.0,24787.67123287672
역삼1동,2.35,34213.0,14558.72340425532
역삼2동,1.15,36121.0,31409.565217391308
도곡1동,1.02,20601.0,20197.058823529413
도곡2동,1.02,32244.0,31611.76470588236
개포1동,1.27,26683.0,21010.23622047244
개포2동,2.51,42249.0,16832.270916334663
개포4동,1.49,23041.0,15463.758389261746
일원본동,2.58,22435.0,8695.736434108527
일원1동,0.92,14202.0,15436.95652173913
수서동,1.43,13563.0,9484.615384615385
세곡동,6.36,46151.0,7256.446540880503
압구정동,2.53,25544.0,10096.442687747036
청담동,2.33,23945.0,10276.824034334764
풍납1동,0.77,11099.0,14414.285714285714
풍납2동,1.59,22907.0,14406.91823899371
거여1동,0.51,11704.0,22949.019607843136
거여2동,0.53,23278.0,43920.75471698113
마천1동,0.58,15312.0,26400.000000000004
마천2동,0.89,17150.0,19269.66292134832
방이1동,0.5,14926.0,29852.0
방이2동,0.8,26163.0,32703.75
오륜동,3.17,17477.0,5513.249211356467
오금동,1.65,37848.0,22938.18181818182
오금동,1.65,19826.0,12015.757575757576
송파1동,0.79,22964.0,29068.354430379743
송파2동,0.53,19094.0,36026.41509433962
석촌동,0.95,30194.0,31783.157894736843
삼전동,0.95,28470.0,29968.42105263158
가락본동,1.13,24570.0,21743.36283185841
가락1동,1.34,26974.0,20129.85074626865
가락2동,0.96,30506.0,31777.083333333336
문정1동,0.56,19609.0,35016.07142857143
문정2동,2.2,28609.0,13004.090909090908
장지동,1.37,30807.0,22486.86131386861
위례동,2.55,44804.0,17570.196078431374
위례동,2.55,45602.0,17883.13725490196
위례동,2.55,35219.0,13811.372549019608
잠실본동,0.94,27450.0,29202.12765957447
잠실2동,2.18,34605.0,15873.853211009173
잠실3동,1.49,33650.0,22583.892617449663
잠실4동,1.56,20987.0,13453.205128205129
잠실6동,2.79,16286.0,5837.275985663083
잠실7동,0.6,9343.0,15571.666666666668
명일1동,0.61,,
명일2동,0.97,,
고덕1동,1.51,,
고덕2동,2.5,,
암사1동,1.02,,
암사2동,1.18,,
암사3동,2.51,,
천호1동,0.71,,
천호2동,1.57,,
천호3동,0.79,,
성내1동,0.58,5065.0,8732.758620689656
성내2동,0.67,8257.0,12323.880597014924
성내3동,0.71,13340.0,18788.7323943662
길동,1.61,48072.0,29858.3850931677
둔촌1동,0.92,,
둔촌2동,1.56,,
강일동,2.26,34323.0,15187.168141592922
상일1동,1.82,,
상일2동,1.09,,
