행정동명,area_km2,bus_cnt,bus_dens,population,bus_per_10k
삼성2동,1.24,28,22.581,30258.0,9.253751074096108
대치1동,0.79,0,0.0,23840.0,0.0
대치2동,2.0,21,10.5,38075.0,5.51543007222587
대치4동,0.73,21,28.767,18095.0,11.60541586073501
역삼1동,2.35,37,15.745,34213.0,10.81460263642475
역삼2동,1.15,31,26.957,36121.0,8.58226516430885
도곡1동,1.02,17,16.667,20601.0,8.252026600650455
도곡2동,1.02,20,19.608,32244.0,6.202704379109291
개포1동,1.27,0,0.0,26683.0,0.0
개포2동,2.51,26,10.359,42249.0,6.153991810457052
개포4동,1.49,35,23.49,23041.0,15.19031292044616
일원본동,2.58,24,9.302,22435.0,10.697570759973257
일원1동,0.92,0,0.0,14202.0,0.0
수서동,1.43,18,12.587,13563.0,13.271400132714
세곡동,6.36,40,6.289,46151.0,8.667201144070551
압구정동,2.53,18,7.115,25544.0,7.046664578766051
청담동,2.33,19,8.155,23945.0,7.934850699519734
풍납1동,0.77,0,0.0,11099.0,0.0
풍납2동,1.59,21,13.208,22907.0,9.167503383245297
거여1동,0.51,26,50.98,11704.0,22.21462747778537
거여2동,0.53,15,28.302,23278.0,6.443852564653321
마천1동,0.58,21,36.207,15312.0,13.71473354231975
마천2동,0.89,8,8.989,17150.0,4.66472303206997
방이1동,0.5,0,0.0,14926.0,0.0
방이2동,0.8,8,10.0,26163.0,3.057753315751252
오륜동,3.17,16,5.047,17477.0,9.154889283057733
오금동,1.65,24,14.545,37848.0,6.341154090044388
오금동,1.65,24,14.545,19826.0,12.105316251387068
송파1동,0.79,0,0.0,22964.0,0.0
송파2동,0.53,18,33.962,19094.0,9.42704514507175
석촌동,0.95,13,13.684,30194.0,4.305491157183546
삼전동,0.95,16,16.842,28470.0,5.619950825430277
가락본동,1.13,17,15.044,24570.0,6.919006919006919
가락1동,1.34,9,6.716,26974.0,3.33654630384815
가락2동,0.96,18,18.75,30506.0,5.900478594374877
문정1동,0.56,43,76.786,19609.0,21.928706206333825
문정2동,2.2,12,5.455,28609.0,4.194484253207032
장지동,1.37,58,42.336,30807.0,18.826889992534163
위례동,2.55,34,13.333,44804.0,7.588608159985715
위례동,2.55,34,13.333,45602.0,7.455813341520109
위례동,2.55,34,13.333,35219.0,9.653880007950256
잠실본동,0.94,0,0.0,27450.0,0.0
잠실2동,2.18,11,5.046,34605.0,3.1787313971969366
잠실3동,1.49,15,10.067,33650.0,4.457652303120357
잠실4동,1.56,9,5.769,20987.0,4.288368990327346
잠실6동,2.79,10,3.584,16286.0,6.140243153628884
잠실7동,0.6,11,18.333,9343.0,11.773520282564489
명일1동,0.61,0,0.0,,
명일2동,0.97,0,0.0,,
고덕1동,1.51,0,0.0,,
고덕2동,2.5,0,0.0,,
암사1동,1.02,0,0.0,,
암사2동,1.18,0,0.0,,
암사3동,2.51,0,0.0,,
천호1동,0.71,0,0.0,,
천호2동,1.57,0,0.0,,
천호3동,0.79,0,0.0,,
성내1동,0.58,0,0.0,5065.0,0.0
성내2동,0.67,0,0.0,8257.0,0.0
성내3동,0.71,0,0.0,13340.0,0.0
길동,1.61,26,16.149,48072.0,5.408553835912797
둔촌1동,0.92,0,0.0,,
둔촌2동,1.56,0,0.0,,
강일동,2.26,55,24.336,34323.0,16.024240305334615
상일1동,1.82,0,0.0,,
상일2동,1.09,0,0.0,,
