행정동명,평균공시지가,land_price_log
돈의동,7959239.00118906,15.889844076024769
동교동,9736847.684984855,16.091428079631132
동빙고동,6731387.335697893,15.722291970939972
동선동1가,8307495.095210617,15.932668809178951
동선동2가,4488675.218508997,15.317068387408003
동선동3가,4100235.310734464,15.226555166778105
동선동4가,4942712.110418522,15.413424951037372
동선동5가,3926153.606965174,15.183171033319567
동소문동1가,5340433.056994819,15.490817491714433
동소문동2가,5079794.823232323,15.440781626469832
동소문동3가,6921767.932489451,15.750181921009363
동소문동4가,4908638.019652305,15.406507275940866
동소문동5가,6681970.420932878,15.714923624866778
동소문동6가,4939902.280130293,15.412856310051442
동소문동7가,3843581.9417475727,15.161915547282877
동숭동,4663365.627646959,15.355248197543556
동자동,8364743.289928249,15.939536322889584
동작동,1973172.516746412,14.4951537267771
둔촌동,2986210.9475701097,14.909516234994333
등촌동,4091066.073374501,15.224316392126559
마곡동,2919905.399284863,14.88706211869126
마장동,3807403.507604562,15.15245828335935
마천동,3706723.314911908,15.12565911058181
마포동,5235916.940789473,15.471052733770989
만리동1가,4363611.015490534,15.288810716274808
만리동2가,6331709.577754892,15.661080991066466
망우동,2633681.299092687,14.783893538632114
망원동,5517805.845181675,15.523491028648994
면목동,3027185.0631775893,14.923144053963345
명동1가,55417085.832471564,17.830398530742723
명동2가,70068896.03283174,18.064989559289927
명륜1가,3921111.953428202,15.181886088160796
명륜2가,7483699.843260188,15.82823799273648
명륜3가,2897386.401642952,14.879319992920834
명륜4가,7395055.452177149,15.81632228792848
명일동,4905952.2756827045,15.405959979842194
목동,3936317.6577994647,15.185756493683988
묘동,13513608.007448789,16.419207810268485
무교동,27523553.623188406,17.130552727775115
무악동,2927173.525872443,14.889548190091341
무학동,8574490.322580645,15.96430222827487
묵동,3127831.5966809154,14.955850861530086
묵정동,6287602.197802198,15.654090506424772
문래동1가,3926566.6993143978,15.183276243292235
문래동2가,4484401.453035807,15.316115812276815
문래동3가,4949831.205673759,15.414864236126643
문래동4가,4426497.252888318,15.303119367339459
문래동5가,2790718.4905660376,14.841810002475032
문래동6가,4103357.56097561,15.227316357558665
문배동,6141600.0,15.630596015319833
문정동,6036139.571711355,15.613275387483942
미근동,5249401.221995926,15.473624765608017
미아동,2991663.699511788,14.911340546125485
반포동,10537416.570476588,16.170443058768328
방배동,7428421.375295808,15.82082406242506
방산동,13808612.441679629,16.440803117859627
방이동,6695965.401404441,15.717015873427457
방학동,2383815.3889182857,14.684213286130145
방화동,2602401.190440312,14.771945495841013
번동,2375684.886002005,14.680796747863996
보광동,7122083.412873938,15.778710995161013
보문동1가,4768687.549251379,15.377581887798483
보문동2가,5279551.789077213,15.479351953056872
보문동3가,3001836.2480127187,14.91473507518647
보문동4가,5292243.902439024,15.481753081006934
보문동5가,4572892.813559322,15.335656782068677
보문동6가,3224383.333333333,14.986252585594682
보문동7가,4588159.920634921,15.338989830861063
본동,3244880.158975947,14.992589284637969
봉래동1가,11676608.75,16.273098232100303
봉래동2가,10163240.64171123,16.134288008449587
봉원동,1845016.0631994733,14.427999083760596
봉익동,9399964.877402252,16.056216617170055
봉천동,3956587.43647284,15.190892705979946
부암동,1510731.6020417302,14.228105258050746
북가좌동,3283513.2863173066,15.004424835545471
북아현동,4926244.887472047,15.410087772671828
북창동,13080939.854593525,16.386666832185753
불광동,3124318.7955079656,14.95472715202263
사간동,7673963.235294118,15.853343889274411
사근동,2588509.429861227,14.766593144622998
사당동,4429010.556188639,15.303686992111379
사직동,3414117.7860276746,15.043429975529614
산림동,12053368.491321765,16.304854804648752
산천동,3807410.9289617487,15.15246023254808
삼각동,26343923.40425532,17.086748233472093
삼선동1가,2857065.4614983485,14.865305943629894
삼선동2가,3738886.512396694,15.134298668563307
삼선동3가,3597532.6073030108,15.095759059549367
삼선동4가,4824323.816155989,15.389181348488039
삼선동5가,4668742.61208577,15.35640055963438
삼성동,15328300.093984962,16.545211422396573
삼전동,7311366.980088496,15.804940952396798
삼청동,5617296.254522239,15.541361190627457
상계동,2783512.0214455053,14.839224364678287
상도1동,4761370.052641841,15.376046221002415
상도동,3545542.340905012,15.081201975852577
상봉동,3575362.3512814483,15.089577365667667
상수동,6724397.242909206,15.721252998840251
상암동,3034097.6948245093,14.925424967967507
상왕십리동,3893425.5319148935,15.174800184401576
상월곡동,2768622.984697902,14.83386099831242
상일동,2773390.447761194,14.835581478631319
서계동,5270291.524764036,15.477596426522416
서교동,9540922.006954797,16.07110078999749
서린동,28635037.94642857,17.17014166390795
서빙고동,4140230.917431193,15.236262362935696
서소문동,15498327.0609319,16.556242709034755
서초동,12106796.624287592,16.30927763995486
석관동,2650002.82323896,14.790071640693046
석촌동,7179477.683449609,15.786737331626515
성내동,4915793.919436361,15.40796403184027
성북동,2808932.253361413,14.848315344095777
성북동1가,4335213.876146789,15.28228173470693
성산동,4219251.256118962,15.255168479818968
성수동1가,6115746.97108067,15.626377637052626
성수동2가,6493680.580368408,15.686340197546011
세곡동,1720961.1669753904,14.358394091788412
세종로,24363978.50562948,17.008616349763862
소격동,7392903.501945525,15.816031247094186
소공동,24703098.11320755,17.022439263897827
송월동,3703533.980582524,15.124798321667646
송정동,3117315.1928912005,14.95248299501985
송파동,7604295.15263482,15.844223928785597
송현동,6603826.612903226,15.703159980244633
수색동,3419808.9947492583,15.045095550404575
수서동,2862824.773384764,14.86731972766506
수송동,11000546.623794211,16.213455613504756
수유동,2351012.577348171,14.670357102642992
수표동,17619835.680751175,16.6845359094595
수하동,23412095.23809524,16.968763380015897
순화동,7771254.678600488,15.865942315284476
숭인동,4095508.004858792,15.225401566655629
시흥동,2726256.5552203045,14.818440367780813
신계동,6468055.947136564,15.682386304083257
신공덕동,5679688.707599828,15.552407160261426
신교동,3197806.8100358425,14.977976073645767
신길동,3522388.9236591225,15.07465027277319
신내동,1564423.5969121635,14.263028644644624
신당동,4583640.359949927,15.338004296957793
신대방동,3739331.3854066217,15.13441764688075
신도림동,3190786.931655705,14.97577844478045
신림동,3759281.038775684,15.139738549999226
신문로1가,17726242.10526316,16.690556760801304
신문로2가,7393472.199509403,15.816108168917182
신사동,8551933.05985093,15.96166802116278
신설동,4365551.7423014585,15.289255369777578
신수동,5290711.933148818,15.481463564725246
신영동,2180714.738124239,14.595163701120452
신원동,1516935.0589556429,14.232203107775664
신월동,2610942.3263064823,14.77522214170325
신정동,3686703.888334995,15.120243632877749
신창동,4458526.659959759,15.31032914840903
신천동,8701692.222222222,15.9790281879321
신촌동,2379653.158458244,14.682465723516742
쌍림동,6450188.452285485,15.679620060787956
쌍문동,2260502.906866764,14.63109831403504
아현동,6309024.142053446,15.657491728454128
안국동,7447653.651482285,15.823409728910507
안암동1가,3921336.2891566255,15.18194329878287
안암동2가,4020942.729306488,15.207027191577684
안암동3가,3581917.997517584,15.091409247588748
안암동4가,4307668.148148148,15.275907514900682
