행정동명,area_km2,subway_cnt,subway_dens,population,subway_per_10k
개포4동,1.49,0,0.0,23041.0,0.0
일원본동,2.58,2,0.775,22435.0,0.8914642299977713
일원1동,0.92,0,0.0,14202.0,0.0
수서동,1.43,4,2.797,13563.0,2.949200029492
세곡동,6.36,7,1.101,46151.0,1.5167602002123464
압구정동,2.53,2,0.791,25544.0,0.7829627309740057
청담동,2.33,1,0.429,23945.0,0.4176237210273544
풍납1동,0.77,0,0.0,11099.0,0.0
풍납2동,1.59,0,0.0,22907.0,0.0
거여1동,0.51,0,0.0,11704.0,0.0
거여2동,0.53,1,1.887,23278.0,0.429590170976888
마천1동,0.58,1,1.724,15312.0,0.6530825496342738
마천2동,0.89,0,0.0,17150.0,0.0
방이1동,0.5,0,0.0,14926.0,0.0
방이2동,0.8,2,2.5,26163.0,0.7644383289378129
오륜동,3.17,3,0.946,17477.0,1.716541740573325
오금동,1.65,3,1.818,37848.0,0.7926442612555484
오금동,1.65,3,1.818,19826.0,1.5131645314233837
송파1동,0.79,0,0.0,22964.0,0.0
송파2동,0.53,0,0.0,19094.0,0.0
석촌동,0.95,0,0.0,30194.0,0.0
삼전동,0.95,1,1.053,28470.0,0.3512469265893923
가락본동,1.13,5,4.425,24570.0,2.035002035002035
가락1동,1.34,1,0.746,26974.0,0.3707273670942388
가락2동,0.96,1,1.042,30506.0,0.3278043663541598
문정1동,0.56,1,1.786,19609.0,0.5099699117752052
문정2동,2.2,0,0.0,28609.0,0.0
장지동,1.37,6,4.38,30807.0,1.9476093095725
위례동,2.55,11,4.314,44804.0,2.4551379341130253
위례동,2.55,11,4.314,45602.0,2.4121749046094467
위례동,2.55,11,4.314,35219.0,3.1233141202192
잠실본동,0.94,0,0.0,27450.0,0.0
잠실2동,2.18,2,0.917,34605.0,0.5779511631267158
잠실3동,1.49,1,0.671,33650.0,0.2971768202080238
잠실4동,1.56,0,0.0,20987.0,0.0
잠실6동,2.79,2,0.717,16286.0,1.2280486307257767
잠실7동,0.6,3,5.0,9343.0,3.2109600770630418
명일1동,0.61,0,0.0,,
명일2동,0.97,0,0.0,,
고덕1동,1.51,0,0.0,,
고덕2동,2.5,0,0.0,,
암사1동,1.02,0,0.0,,
암사2동,1.18,0,0.0,,
암사3동,2.51,0,0.0,,
천호1동,0.71,0,0.0,,
천호2동,1.57,0,0.0,,
천호3동,0.79,0,0.0,,
성내1동,0.58,0,0.0,5065.0,0.0
성내2동,0.67,0,0.0,8257.0,0.0
성내3동,0.71,0,0.0,13340.0,0.0
길동,1.61,1,0.621,48072.0,0.2080213013812614
둔촌1동,0.92,0,0.0,,
둔촌2동,1.56,0,0.0,,
강일동,2.26,31,13.717,34323.0,9.031844535734056
상일1동,1.82,0,0.0,,
상일2동,1.09,0,0.0,,
