행정동_코드,행정동명,area_km2,집객시설_수,anchor_fac_dens
11440660,서교동,1.65,5382.0,3261.818181818182
11440680,합정동,1.69,576.0,340.82840236686394
11440690,망원1동,1.14,1962.0,1721.0526315789475
11440700,망원2동,0.67,1242.0,1853.731343283582
11440710,연남동,0.65,1638.0,2520.0
11440720,성산1동,0.8,1008.0,1260.0
11440730,성산2동,2.07,1026.0,495.6521739130435
11440740,상암동,8.4,1638.0,195.0
11470510,목1동,1.41,2988.0,2119.148936170213
11470520,목2동,1.03,1008.0,978.6407766990291
11470530,목3동,0.53,1566.0,2954.7169811320755
11470540,목4동,0.57,648.0,1136.842105263158
11470560,신월1동,0.65,1242.0,1910.7692307692307
11470570,신월2동,0.61,486.0,796.7213114754098
11470580,신월3동,0.87,630.0,724.1379310344828
11470590,신월4동,0.52,882.0,1696.1538461538462
11470600,신월5동,0.69,630.0,913.0434782608696
11470610,신월6동,0.41,450.0,1097.5609756097563
11470611,신월7동,1.19,900.0,756.3025210084033
11470620,신정1동,0.7,846.0,1208.5714285714287
11470630,신정2동,0.52,774.0,1488.4615384615383
11470640,신정3동,2.72,324.0,119.11764705882352
11470650,신정4동,1.01,3096.0,3065.3465346534654
11470680,신정7동,1.21,0.0,0.0
11500510,염창동,1.74,306.0,175.86206896551724
11500520,등촌1동,0.64,306.0,478.125
11500530,등촌2동,0.92,180.0,195.65217391304347
11500535,등촌3동,0.79,1224.0,1549.367088607595
11500540,화곡1동,1.12,5148.0,4596.428571428571
11500550,화곡2동,0.45,810.0,1800.0
11500560,화곡3동,0.53,450.0,849.0566037735848
11500570,화곡4동,0.82,2322.0,2831.707317073171
11500590,화곡본동,0.98,1188.0,1212.2448979591836
11500591,화곡6동,1.11,1476.0,1329.7297297297296
11500593,화곡8동,0.53,1008.0,1901.8867924528302
11500603,가양1동,4.7,3546.0,754.468085106383
11500605,가양3동,0.5,234.0,468.0
11500611,발산1동,2.94,1602.0,544.8979591836735
11500615,우장산동,1.36,846.0,622.0588235294117
11500620,공항동,10.87,1566.0,144.066237350506
11500630,방화1동,1.48,1620.0,1094.5945945945946
11500640,방화2동,6.41,1188.0,185.33541341653665
11500641,방화3동,2.55,468.0,183.52941176470588
11530510,신도림동,1.47,270.0,183.67346938775512
11530530,구로2동,1.76,3096.0,1759.090909090909
11530540,구로3동,1.02,2520.0,2470.5882352941176
11530550,구로4동,0.46,2106.0,4578.260869565217
11530560,구로5동,1.03,2628.0,2551.4563106796118
11530595,가리봉동,0.4,1368.0,3420.0
11530720,고척1동,1.16,882.0,760.344827586207
11530730,고척2동,1.02,1710.0,1676.4705882352941
11530740,개봉1동,1.31,1026.0,783.206106870229
11530750,개봉2동,0.8,648.0,810.0
11530760,개봉3동,0.81,1728.0,2133.333333333333
11530770,오류1동,0.59,1854.0,3142.3728813559323
11530780,오류2동,3.2,1098.0,343.125
11530790,수궁동,2.67,1548.0,579.7752808988764
11545510,가산동,2.52,4752.0,1885.7142857142858
11545610,독산1동,2.09,3096.0,1481.3397129186603
11545620,독산2동,0.6,846.0,1410.0
11545630,독산3동,0.92,1440.0,1565.2173913043478
11545640,독산4동,0.59,828.0,1403.3898305084747
11545670,시흥1동,1.71,3114.0,1821.0526315789475
11545680,시흥2동,1.26,414.0,328.57142857142856
11545690,시흥3동,1.07,684.0,639.252336448598
11545700,시흥4동,0.87,954.0,1096.551724137931
11545710,시흥5동,1.39,1350.0,971.2230215827338
11560515,영등포본동,1.02,630.0,617.6470588235294
11560535,영등포동,1.26,5094.0,4042.8571428571427
11560540,여의동,8.4,4626.0,550.7142857142857
11560550,당산1동,0.75,1764.0,2352.0
11560560,당산2동,1.55,1962.0,1265.8064516129032
11560585,도림동,0.89,738.0,829.2134831460673
11560605,문래동,1.49,1476.0,990.6040268456376
11560610,양평1동,0.88,396.0,450.0
11560620,양평2동,3.0,1782.0,594.0
11560630,신길1동,0.66,1332.0,2018.181818181818
11560650,신길3동,0.52,576.0,1107.6923076923076
11560660,신길4동,0.38,234.0,615.7894736842105
11560670,신길5동,0.47,774.0,1646.808510638298
11560680,신길6동,0.65,1368.0,2104.6153846153848
11560690,신길7동,0.64,360.0,562.5
11560700,대림1동,0.49,864.0,1763.265306122449
11560710,대림2동,0.55,972.0,1767.272727272727
11560720,대림3동,0.95,2214.0,2330.5263157894738
11590510,노량진1동,1.58,1890.0,1196.2025316455695
11590520,노량진2동,0.64,666.0,1040.625
11590530,상도1동,1.51,2052.0,1358.9403973509934
11590540,상도2동,0.98,1710.0,1744.8979591836735
11590550,상도3동,0.6,1116.0,1860.0
11590560,상도4동,0.75,774.0,1032.0
11590605,흑석동,1.68,666.0,396.42857142857144
11590620,사당1동,0.79,1314.0,1663.2911392405063
11590630,사당2동,2.75,3492.0,1269.8181818181818
11590640,사당3동,0.92,378.0,410.8695652173913
11590650,사당4동,0.38,1314.0,3457.8947368421054
11590651,사당5동,0.57,342.0,600.0
11590660,대방동,1.55,2700.0,1741.9354838709678
11590670,신대방1동,0.62,792.0,1277.4193548387098
11590680,신대방2동,1.03,1242.0,1205.8252427184466
11620525,보라매동,0.76,810.0,1065.7894736842104
11620545,청림동,0.3,90.0,300.0
11620565,성현동,0.68,162.0,238.23529411764704
11620575,행운동,0.72,846.0,1175.0
11620585,낙성대동,2.27,522.0,229.95594713656388
11620595,청룡동,1.18,2952.0,2501.6949152542375
