행정동_코드,행정동명,area_km2,총_매출_금액,매출_밀도
11650590,방배본동,0.67,211614243028,315842153773.13434
11650600,방배1동,0.7,283080694495,404400992135.7143
11650610,방배2동,1.93,187146877763,96967294177.7202
11650620,방배3동,2.4,103247179130,43019657970.833336
11650621,방배4동,0.98,240994161885,245912410086.7347
11650651,양재1동,5.76,496701872219,86232963926.90973
11650652,양재2동,7.58,553718311150,73049909122.6913
11650660,내곡동,12.68,24596778042,1939808993.8485808
11680510,신사동,0.64,1059496563935,1655463381148.4375
11680510,신사동,1.89,1059496563935,560580192558.201
11680521,논현1동,1.25,1015586396248,812469116998.4
11680531,논현2동,1.47,766431336222,521381861375.5102
11680545,압구정동,2.53,1407695190475,556401261057.3123
11680565,청담동,2.33,1109389584801,476132869013.3047
11680580,삼성1동,1.94,1025006756578,528353998236.08246
11680590,삼성2동,1.24,359982382101,290308372662.0968
11680600,대치1동,0.79,531034815496,672195968982.2784
11680610,대치2동,2.0,697012218267,348506109133.5
11680630,대치4동,0.73,855433786063,1171827104195.8904
11680640,역삼1동,2.35,2098356410393,892917621443.8297
11680650,역삼2동,1.15,381629893021,331852080887.8261
11680655,도곡1동,1.02,275240714305,269843837553.9216
11680656,도곡2동,1.02,290288907174,284596967817.64703
11680660,개포1동,1.27,2084143168,1641057612.5984251
11680670,개포2동,2.51,117060718467,46637736441.03586
11680690,개포4동,1.49,221494412507,148653968125.50336
11680700,세곡동,6.36,149806135058,23554423751.257866
11680720,일원본동,2.58,45234055230,17532579546.511627
11680730,일원1동,0.92,128399821636,139565023517.3913
11680740,일원2동,,16756217076,
11680750,수서동,1.43,225358215794,157593157897.9021
11710510,풍납1동,0.77,40726502340,52891561480.51948
11710520,풍납2동,1.59,100785342136,63387007632.7044
11710531,거여1동,0.51,67525394956,132402735207.84314
11710532,거여2동,0.53,102653062194,193685023007.54715
11710540,마천1동,0.58,141671920843,244261932487.93103
11710550,마천2동,0.89,157899281314,177414922824.7191
11710561,방이1동,0.5,190472892171,380945784342.0
11710562,방이2동,0.8,491198256713,613997820891.25
11710566,오륜동,3.17,22801453932,7192887675.70978
11710570,오금동,1.65,296193515158,179511221307.87878
11710580,송파1동,0.79,273078775575,345669336170.88605
11710590,송파2동,0.53,103321767494,194946731120.7547
11710600,석촌동,0.95,368402635797,387792248207.36847
11710610,삼전동,0.95,300232531350,316034243526.3158
11710620,가락본동,1.13,294900213427,260973640200.88495
11710631,가락1동,1.34,1733567986754,1293707452801.4924
11710632,가락2동,0.96,223978590098,233311031352.0833
11710641,문정1동,0.56,128275864440,229064043642.85712
11710642,문정2동,2.2,571686098248,259857317385.45453
11710646,장지동,1.37,132610117546,96795706237.9562
11710647,위례동,2.55,27720819587,10870909641.960785
11710650,잠실본동,0.94,633396216994,673825762759.5745
11710670,잠실2동,2.18,262100781618,120229716338.5321
11710680,잠실3동,1.49,270804761624,181748162163.7584
11710690,잠실4동,1.56,51700066401,33141068205.76923
11710710,잠실6동,2.79,1066392749164,382219623356.2724
11710720,잠실7동,0.6,19018150044,31696916740.0
11740515,강일동,2.26,61156814582,27060537425.66372
11740520,상일동,,78673623661,
11740530,명일1동,0.61,242917207862,398224930921.31146
11740540,명일2동,0.97,335987814489,346379190194.8454
11740550,고덕1동,1.51,33852269903,22418721790.066223
11740560,고덕2동,2.5,97615305711,39046122284.4
11740570,암사1동,1.02,147575487717,144681850702.94116
11740580,암사2동,1.18,97427290646,82565500547.45763
11740590,암사3동,2.51,74692574027,29757997620.31873
11740600,천호1동,0.71,116546220015,164149605654.9296
11740610,천호2동,1.57,579701384729,369236550782.80255
11740620,천호3동,0.79,149841294893,189672525181.01263
11740640,성내1동,0.58,181022897369,312108443739.6552
11740650,성내2동,0.67,210458654180,314117394298.50745
11740660,성내3동,0.71,286247059314,403164872273.2394
11740685,길동,1.61,427870752125,265758231133.54037
11740700,둔촌2동,1.56,103781993014,66526918598.71795
